zip_code,longitude,latitude
05363,20.7259,48.9587
05371,20.6873,49.0678
05373,20.8543,49.0721
05375,20.5052,48.8405
05376,20.4301,48.8522
05401,20.5208,49.0268
05411,20.5921,49.0217
05413,20.5921,49.0217
05427,20.5921,49.0217
05428,20.5921,49.0217
05429,20.5921,49.0217
05445,20.5921,49.0217
05450,20.5921,49.0217
05465,20.5921,49.0217
05467,20.5921,49.0217
05468,20.5921,49.0217
05470,20.5921,49.0217
05501,21.012,48.8924
05551,21.0138,48.8561
05552,20.9877,48.8218
05561,20.988,48.8717
05562,20.8961,48.8159
05563,20.8677,48.8307
05564,20.8048,48.8041
05565,20.7736,48.7452
05566,20.6751,48.7059
05571,20.9241,48.8786
05601,20.9371,48.8558
05801,20.298,49.0614
05802,20.3127,49.0458
05806,20.3127,49.0458
05808,20.3127,49.0458
05809,20.3127,49.0458
05827,20.3127,49.0458
05844,20.3127,49.0458
05845,20.3127,49.0458
05852,20.3127,49.0458
05889,20.3127,49.0458
05901,20.4865,49.1898
05902,20.4251,49.2248
05904,20.3503,49.3028
05906,20.4085,49.382
05907,20.3565,49.2344
05911,20.3469,49.0344
05912,20.1956,49.0223
05913,20.4323,49.0174
05914,20.3585,48.9937
05916,20.309,48.9895
05917,20.2706,48.9175
05918,20.2017,48.9968
05919,20.1509,48.9935
05921,20.2069,49.0601
05931,20.1424,49.0515
05934,20.2487,49.046
05935,20.185,49.0761
05936,20.1403,49.0735
05937,20.1405,49.0924
05938,20.0797,49.0591
05939,20.0845,49.0306
05940,20.0888,48.9664
05941,20.0797,49.0591
05942,20.2064,49.0987
05951,20.298,49.0614
05952,20.3046,49.1368
05955,20.2624,49.271
05956,20.1475,49.2675
05960,20.2813,49.1662
05971,20.45,49.1167
05972,20.4611,49.0394
05973,20.3977,49.0832
05976,20.384,49.1672
05978,20.3028,49.3139
05979,20.2272,49.3301
05981,20.2505,49.127
05984,20.1246,49.1185
05985,20.0797,49.0591
05986,20.2674,49.1225
05991,20.2826,49.0933
05992,20.3767,49.115
05993,20.4801,49.2397
05994,20.5254,49.2025
05995,20.4929,49.2641
06001,20.4335,49.1357
06003,20.4112,49.1363
06026,20.4112,49.1363
06042,20.4112,49.1363
06101,20.3596,49.383
06201,20.2439,49.1364
06401,20.6862,49.2986
06427,20.6862,49.2986
06429,20.6862,49.2986
06501,20.6107,49.2965
06502,20.5656,49.3039
06503,20.536,49.2587
06511,20.6835,49.2702
06512,20.6959,49.2481
06522,20.7163,49.414
06531,20.6229,49.3701
06532,20.6146,49.3324
06533,20.5027,49.3735
06534,20.4369,49.3313
06541,20.8612,49.2354
06542,20.9387,49.2965
06543,20.8696,49.2847
06544,20.8423,49.2627
06545,20.8076,49.2916
06546,20.7556,49.318
06548,20.9423,49.2193
06601,21.8554,48.9477
06602,21.8932,48.9352
06603,21.8932,48.9352
06611,21.8932,48.9352
06618,21.8932,48.9352
06622,21.8932,48.9352
06623,21.8932,48.9352
06624,21.8932,48.9352
06627,21.8932,48.9352
06628,21.8932,48.9352
06631,21.8932,48.9352
06637,21.8932,48.9352
06639,21.8932,48.9352
06642,21.8932,48.9352
06643,21.8932,48.9352
06644,21.8932,48.9352
06654,21.8932,48.9352
06657,21.8932,48.9352
06658,21.8932,48.9352
06670,21.8932,48.9352
06680,21.8932,48.9352
06683,21.8932,48.9352
06684,21.8932,48.9352
06701,21.9388,49.1112
06702,21.8477,49.2392
06704,21.8464,49.1538
06711,21.902,49.0233
06712,21.973,49.0333
06713,21.9962,49.1397
06716,22.0401,49.1706
06722,21.8451,48.9953
06723,21.8367,49.0325
06724,21.8009,49.0113
06731,21.9651,48.9756
06732,22.0108,48.9789
06733,22.0601,49.0939
06734,22.1525,49.1407
06735,22.1923,49.1083
06741,21.9393,48.8863
